Source,Content,L1,L2
Google Play,"Chính sách mới. Tạo điều kiện cho tụi bom hàng, lừa đảo.",Return/Refund,Dispute
Google Play,Như đồ lol,Others,Cannot defined
Google Play,Tiền sip rất đắt mong sop giãm tiền sip,Delivery,Shipping fee
Google Play,Cmm mày má đelll sử đụng mã giảm giá lỗi M02,Shopee account,Banned/blocked
Google Play,Ủa tui vừa đặt hàng hôm trước tới hôm nay bị đăng xuất khỏi tài khoản còn bào là tài khoản bị khóa rồi cuối cùng là đơn hàng của tui có được giao ko,Shopee account,Banned/blocked
Owned,"#ShopeeLiveFreeship99K 🕛Tiêu đề: 12H Rồi! Shopee Live Với Lê Dương Bảo Lâm Thôi 💥 Cảm nghĩ về chương trình: được ad nhá hàng trước nên đúng 12h cơm nước xong xuôi em đã bay vô Shopee Live xem "" Chiến Thần Livestream Lên Sóng "" . Điều ấn tượng với chiến thần là nói nhanh, lưu loát thi thoảng k quên chèo kéo mọi người mua hàng😆😆. Chiến thần mặn mòi làm em cười rung giường🤣. Chương trình rất tuyệt vời điểm lại những tin quan trọng của shopee live, đặc biệt là khoản  tung voucher và freeship liên tục cho mọi người mua hàng😍😍",Commercial,Shopee Programs
Google Play,Lag vãi,Feature,App performance
Non Owned,Có bác nào bị như nhà em không ạ. Bán trên lazada toàn đơn to bị ăn cắp thông tin. Nó giao hàng cho khách đơn giá trị y vậy xong bỏ đồ linh tinh vào . Các bác làm sao để đỡ khoản bị ăn cắp xong cướp đơn đó vậy ạ 😭😭😭,Others,Cannot defined
Non Owned,"Tuyển gấp nam nữ shopee Q7 lương từ 140K-265K/ngày bao cơm, Lương liền , ib zalo 0902363394",Others,Scam
Owned,"👑CÔNG BỐ KẾT QUẢ MINIGAME CHIẾN THẦN TƯƠNG TÁC, RINH VOUCHER CỰC CHẤT👑  Cảm ơn các bạn đã tham gia minigame từ group Ghiền ShopeePay. Xin chúc mừng các bạn ❤  💎 Các bạn xem danh sách nhận quà tại đây : [https://docs.google.com/spreadsheets/d/16ZiWeMnJ8O-bL-XM3bWYR9bwrMECy5dF4ja2Z4VGDrw/edit#gid=0](https://docs.google.com/spreadsheets/d/16ZiWeMnJ8O-bL-XM3bWYR9bwrMECy5dF4ja2Z4VGDrw/edit#gid=0)  💎 AD sẽ ibx từng bạn để lấy username nếu game đó không quy định comment username trong phần cách chơi minigame nhé. Cả nhà nhớ gửi ad sớm trong 24h kể từ lúc công bố. Quá hạn ad xin phép ngừng nhận nha^^. Hoặc mình sẽ điền form (link form ad sẽ đính kèm trong phần công bố. Nếu ad không đính kèm link đồng nghĩa với việc AD sẽ ibx bạn lấy thông tin nha).  💎 Các bạn không cần điền form, vì lúc chơi các bạn đã cung cấp user name Shopee cho BTC. BTC sẽ dựa vào đó gửi Voucher/Xu/Quà tặng cho bạn.  Lưu ý :  📌 Thời gian dự kiến gửi Voucher Shopee: 13/09/2022  #KetquaminigameGhienShopeePay",Commercial,Shopee Programs
Google Play,Mua r nhưng ko có hàng,Buyer complained seller,Customer service (didn't respond/impolite)
Google Play,Giao hàng rất chậm mình đặt trước cả tháng đơn hàng từ HN về THoa vẫn chưa chịu giao mãi vẫn trong tình trạng xuất kho shoppe express quá chán,Delivery,Delivery time
iOS,Éo bt,Others,Cannot defined
Google Play,Bán đắt quá thế mà kêu đơn nào cũng free ship ba,Commercial,Promotions
Google Play,Up xong hết xài luôn,Others,Cannot defined
Google Play,K áp mã vẫn bị m02:)?,Shopee account,Banned/blocked
Google Play,"Mua hàng vớ y khoa bị giãn tĩnh mạch đau chân mang ko vừa yêu cầu trả hàng để lấy cỡ lớn hơn nên yêu cầu trả hàng, shopee thông báo đơn vị vận chuyển đến lấy, đợi mấy hôm ko thấy hôm nay gửi tin tự đi gửi bưu điện niếu ko sẽ hủy yêu cầu, tôi đang đặt mua một số hàng và bây giờ tôi hủy hết mua ở Lazada",Return/Refund,Dispute
Non Owned,"Em nhận đặt hộ đơn shopee mã giảm 40k, kèm FS 40k Giá 20k có bảo hành. Bác nào cần chủ động ib e rep dần nhé 🥳",Others,Scam
Non Owned,"EQUATE ALLERGY RELIEF - Tủ thuốc gia đình nên có –   💰 Giá: 220.000 đ / hũ 100 viên ban đêm | 280.000 đ/ hũ 60 viên ban ngày   🎉Xử lý nhanh: Viêm mũi dị ứng& Dị Ứng Thời Tiết & Các Dị Ứng khác có triệu chứng chảy nước mắt, mũi, đau họng , nhảy mũi. Sản phẩm tốt mua dùng và chia sẻ cho khách cùng biết. Viên nhỏ rất dễ uống 🎉Liều dùng: 6-12 tuổi (1 viên) Trên 12 tuổi: 1-2 viên Cách 4-6 tiếng / lần; Ngày ko quá 6 lần ——————— 𝑴𝒂𝒊𝒔𝒐𝒏 𝑯𝒂𝒏𝒈𝑴𝒚 𝟷𝟶𝟶% 𝙲𝙷Í𝙽𝙷 𝙷Ã𝙽𝙶 𝙲Ó 𝙱𝙸𝙻𝙻 - 𝙽𝙷Ậ𝙿 𝙷À𝙽𝙶 𝙺𝙷Ô𝙽𝙶 𝙲𝙾𝙳 𝚃𝚘à𝚗 𝚀𝚞ố𝚌 - 𝙵𝚛𝚎𝚎𝚜𝚑𝚒𝚙 𝙷𝙲𝙼 từ 𝟻𝟶𝟶𝚔 🚦 www.maisonhangmy.com 🏡: 107 Phan Đình Phùng, P.17, Q. Phú Nhuận ☎️ : 028 3517 2222 🚦 : Shopee.vn/maisonstore.usa 🚦: Văn phòng - City Land Gò Vấp #hangmy #hangchinhhang #maisonhangmy #maisonstore #maison",Commercial,Items/price
Non Owned,https://shopee.vn/product/82468188/10705912659?smtt=0.82469665-1653548902.9,Commercial,Items/price
HC search,xin chao,Others,Cannot defined
Google Play,1 sao,Others,Cannot defined
Owned,"Tên sản phẩm: Sữa dưỡng thể toàn thân dưỡng ẩm trắng sáng da Grace Face Smooth Body Lotion 200ml ✨Smooth Body Lotion Grace Face giúp da bạn bật tone trắng sáng một cách tự nhiên, cảm nhận làn da mịn mướt trắng hồng sau 2-3 tuần. ✨Công thức phân tử nước độc quyền với chất nền là Sodium Hyaluronate tại Grace Face cho bạn cảm giác như có một lớp màng nước hoà tan vào da ngay sau khi thoa, sản phẩm sẽ thấm ngay lập tức, không hề có cảm giác bết dính, nhờn rít và đặc biệt không gây khó chịu. Bạn sẽ được cảm nhận làn da mịn mượt tự nhiên.  ✨Thay vì sử dụng các sản phẩm chống nắng dành cho body, giờ đây bạn có thể vừa dưỡng da vừa kết hợp chống nắng với Smooth Body Lotion Grace Face SPF35. Lúc này các hoạt chất sẽ đi sâu vào da và lớp chống nắng sẽ được nằm lại trên bề mặt da, lớp chống nắng này vừa có công dụng bảo vệ da khỏi tia UV, vừa có công dụng giúp makeup nâng tone nhẹ nhàng cho làn da bạn. Lý do: Gần Tết rồi nên cần phải chăm sóc lại da dẻ của bản thân giúp bản thân xinh đẹp rạng rỡ hơn.Sản phẩm sử dụng rất tốt,rất chất lượng mình rất thích sản phẩm.Sẽ mua tiếp sau khi sử dụng hết. #NghienReviewDoTet #ShopeeTetSale151",Others,Cannot defined
Google Play,Đứng màng hình luôn luôn có và thường xuyên lặp lại thoát vào hơn chục lần vẫn thế,Feature,App performance
Non Owned,sao ko nhắn qua shopee cho e 😠,Feature,Chat
Google Play,Lừa đảo vừa thôi. Không ai ép cho voucher đâu. Tới giờ khuyến mãi thì tất cả sản phẩm đều không thể vận chuyển.,Delivery,Delivery status/info
Google Play,Đm shopee Tao làm gì mà cấm tao mua hàng,Others,Cannot defined
Google Play,Phế...Xoá đi lại QC suốt ngày Cạn lời luôn ):(😡😡😡😡😡,Commercial,Promotions
Google Play,Nạp tiền vào ví shopeepay. Bị trừ tiền tài khoản rồi. Mà ví vẫn k nhận đc tiền. Mất tiền oan . bực hết cả mình! K bao h mua hàng Shopee nữa!,Payment,ShopeePay
Google Play,"Hút máu người , hút từ phí nạp quảng cáo đến phí giao dịch , phí các loại phí. Đến khâu vận chuyển nó cũng ăn của tài xế . Hút máu quá shopee ơi. À cả sắp tới còn phải đóng thuế nữa.",Others,Shopee Policies
Non Owned,"🍓BẾP NHÀ #9 : DETOX CUỐI TUẦN VỚI SỮA CHUA NGŨ CỐC TRÁI CÂY Chỉ với 5 phút, bạn có ngay một bữa sáng healthy đầy đủ dinh dưỡng nhưng vẫn không kém phần ngon miệng.  Nguyên liệu và cách làm cực kì đơn giản, click ngay vào video để khám phá chi tiết nhé!  📌Nguyên liệu: - Sữa chua (ít đường hoặc không đường) - Táo - Bơ - Ngũ cốc (hoặc yến mạch)  📌Cách làm: Đổ sữa chua vào trước rồi xếp các loại hoa quả lên trên, nửa còn lại rải ngũ cốc sau đó rắc hạt chia lên cùng. Cuối cùng là thưởng thức!  Chúc mọi người có một ngày cuối tuần vui vẻ cùng với món tráng miệng nhà làm! 👉Đừng quên chia sẻ những khoảnh khắc vui vẻ và thành phẩm của bạn với Inochi nhé! 📌Thông tin về sản phẩm trong video: Hộp thủy tinh tròn Nikko 400ml Link sản phẩm: Hộp thủy tinh tròn Nikko - 400ml - Inochi #inochi #Songxanh_SongchuanNhat ------------------ INOCHI - Bên Bạn Mỗi Ngày Hotline: 18007009 (miễn phí cước gọi) Hệ thống Shop & Showroom trên toàn quốc https://inochi.vn/he-thong-phan-phoi/ Lazada: https://www.lazada.vn/shop/inochi-vn-store Shopee: https://shopee.vn/inochi.mallstore",Others,Cannot defined
Google Play,"Có tận 3 cái mã giảm giá cho ng mới mà sài ko đc. Còn hsd, còn lượt sd mà báo lỗi. Mong shopee khắc phục gấp đi",Feature,Apply Voucher
Google Play,Đi đel đâu cũng quảng cáo nhẩy vào cài đặt. Khó chịu,Commercial,Promotions
Google Play,"App ổn nhưng giao hàng hơi lâu, với lại bị hư hàng 😞",Delivery,Delivery time
Google Play,"Cập nhật xong lỗi ko vào được, cần khắc phục nhanh chóng",Feature,App performance
Non Owned,‼️ MN đi ngủ hết kun r hở-‼️ hog thấy ai lun 😳😳😳 Ai còn thức cb  săn xu 0H nè.  1/ tt shopee: https://shope.ee/abd9SJZg  2/ hộp quà shopee rewards: https://shope.ee/5Kc9Z1XnM1 Hoặc: https://shope.ee/8zVXvDHaMq  3/ mở quà tặng nhận 12k xu: https://shope.ee/ackDo2jJ,Commercial,Promotions
Google Play,"Làm ăn láo nháo, tranh mãi được mãi mã giảm giá con chó nhân viên hủy luôn đơn, tốt bụng ghê",Commercial,Promotions
Non Owned,"Ai có voucher: siêu thị, gg clay, game, hoá đơn, đa năng của momo ib mình thu nha. Voucher shoppe, Zalo pay, VN pay phải có số dư mình mới thu Nhận rút ví trả sau của momo, Viettel pay,.... Chiết khấu hợp lí. Ko hỗ trợ số dư Chưa từng bị phốt Check thoải mái Cân all gdtg ( phí bạn chịu).",Others,Scam
Non Owned,Bạn đã hành động để cùng WHO lan tỏa thông điệp giữ tay sạch khuẩn nhân “Ngày vệ sinh tay Thế giới 5/5” chưa?,Others,Cannot defined
Google Play,"Giao hàng như quần què nói chuyện mất dạy , gọi trong giờ làm việc của khách hàng không nghe máy được tự ý hủy đơn , khách gọi lại thì chửi khách né app này 1 lần duy nhất vì thằng shipper",Delivery,Driver
Non Owned,Ghé ShopeeFood Trả lời các câu hỏi để có cơ hội nhận voucher 100k và xu thưởng nhé mọi người  Thời gian bắt đầu từ 24 đến 26/5  👉 Đáp án hôm nay : A -D- B- B- C  👉 Link chương trình : https://shopee.vn/m/dat-do-an-online-shopeefood  #ShopeeFood,Others,Cannot defined
Google Play,Hàng k như mẫu giao lâu hơn dự kiến,Buyer complained seller,Product quality
Google Play,Mấy hôm nay mình vào game nông trại Shopee đều bị out ra và nếu thử lại nhiều lần liền bị treo điện thoại không biết lỗi do nào ????,Commercial,Games/Minigames
Non Owned,"Mong được Ad duyệt baì #Qcshopee #Hàngsẵn #Sale #35k  •Link shopee: https://shopee.vn/pey.boutique   ❌❌ HÀNG SẴN RẤT NHIỀU MN ĐẶT E SHIP LIỀN NHA  Link shopee từng sản phẩm em ghim sẵn dưới ảnh ạ   📍Bộ ngủ lụa sữa quần dài QC năm nào cũng gom chất với kiểu dáng hình in siêu đẹpp em sale #99k/b   📍Túi khoá tròn QC siêu xinh nha, đeo chéo hay đeo vai đều xinh, đứng form đẹp lắm ạ, e sale #139k   📍Set kem đánh răng Crest 3 tuýp to + 2 tuýp nhỏ chỉ #165k   📍Set dán tóc 10m em sale chỉ #35k   📍Set 6 cuộn khăn đa năng em sale #129k/set  📍Hộp khăn lau kính chống mờ 100miếng đối với các bác đeo kính siêu cần mùa mưa này đó nha, em sale chỉ #69k/hộp   📍Túi đựng giày size to em sale 49k/5c, 10c #89k",Others,Cannot defined
Google Play,Ứng dụng như đb lag vãi cả c**,Feature,App performance
Google Play,Má sao liên kết mà cứ kêu hệ thống bị lỗi là sao vậy,Payment,ShopeePay
Non Owned,"mong ad duyệt bài luôn giúp e ạ e mới bán hàng trên shopee , mấy đơn đầu e để đơn vị vận chuyển là vn post mà đợi mấy ngày họ không đến lấy hàng e đã mang ra bưu cục , mấy đơn tiếp theo e đổi đvvc sang shopee express thì họ lại gọi điện báo chỗ e xa quá không hỗ trợ đến lấy hàng , e ngay ở hồ tùng mậu-p mai dịch, e có seach trên gg thì có 1 bưu cục gần nhất nằm ngay doãn kế thiện nhưng k thấy họ để sđt để liên hệ. Các cao nhân đi trước cho e hỏi e mang hàng ra bưu cục đó được không?(56 doãn kế thiện) và e nên chọn đvvc nào họ đến lấy hàng nhanh cho mình? nếu trường hợp k mang ra bưu cục được thì e có thể sửa đvvc trên đơn hàng không hay phải báo khách hủy đơn rồi lên lại ạ? HELP ME !",Delivery,SPX
Google Play,Ứng dụng hay bị lag,Feature,App performance
Google Play,Quảng cáo hoài vậy nên cho 1 sao,Commercial,Promotions
Google Play,Chơi toàn quảng cáo điêu dẹp luôn ik cho đỡ quảng cáo,Commercial,Promotions
Google Play,Shopee làm ăn chán thật mua hàng toàn lừa đảo thế này thì ai dùng nữa,Buyer complained seller,Customer service (didn't respond/impolite)
Google Play,Tải lâu vc,Feature,App performance
Google Play,Ko thể lk ví,Payment,ShopeePay
Google Play,App lỗi săn sale vào 00:00 nó lỗi liên tục,Others,Cannot defined
Google Play,"Mua hàng thanh toán thẻ Visa điền đầy đủ thông tin đòi hỏi thêm mã bưu chính ko biết mã bưu chính làm sao điền, cuối cùng ko hoàn thành thanh toán, phức tạp. Quá tệ thua Lazada và Tiki.",Payment,Payment issues
Google Play,Đăng nhập thì ko được vừa mất côbg tải lại vừa tức,Shopee account,Sign up/Log in
Non Owned,"Mọi người ơi, mình mở thêm 1 shop phụ cùng địa chỉ bán sản phẩm tương đương shop chính mà hiệu khác có bị shoppe ban ko ạ",Others,Seller
Google Play,Giao diện app đẹp nhưng vô cùng lag. Ko thể xem được sản phẩm trong khi những app khác bình thường. Đã thế shipper còn khó tính nữa..,Delivery,Driver
Google Play,Quá tệ 🤬🤬🤬,Others,Cannot defined
Google Play,"Cho mã khuyến mãi, khách áp vô sử dụng ko dc, thử nhiều lần thì quay qua khoá tk khách vì lí do trục lợi. Thôi bye bye shopee",Feature,Apply Voucher
Google Play,Tải k được,Others,Cannot defined
Google Play,"Hồi trước mình cũng mê mua sắm trên đây lắm nhưng không hiểu vì sao mà bây giờ phải xác minh sđt khi mua hàng dù mình đã mua cả mấy chục lần rồi , mà có nhập sđt để xác nhận thì hệ thống cũng không chịu xác nhận cho mình mong hệ thống sẽ khắc phục tình trạng này",Shopee account,Account security
Google Play,"Shipper thì khó chịu với khác hàng , vô thì lag rồi văng , shipper thì chửi lên chửi xuống khách hàng , hài thiệt",Delivery,Driver
Google Play,Một trang thương mại điện tử lớn nhưng lại lỗi liên tục nếu có âm sao tôi cũng cho!,Feature,App performance
Google Play,"Thái độ chăm sóc khách hàng vô cùng tệ, chưa nói chuyện xong đã rời khỏi cuộc trò chuyện, nói chuyện không đầu không đuôi, nhân viên hỗ trợ mà tưởng thượng đế leo đầu khách",Services,Contact Agent
Google Play,Kêu giảm 30k mà ko giảm app xàm vãi,Others,Cannot defined
Google Play,Như lollllllllll,Others,Cannot defined
Google Play,Cskh như đb,Services,Contact Agent
Google Play,Má quảng cáo cc,Commercial,Promotions
Google Play,🙂,Others,Cannot defined
Google Play,update xog h vào toàn bị văg😶‍🌫️,Feature,App performance
Google Play,"Lưu mấy cái voucher về, áp vào nó không xài được, áp cái thứ 2 thì nó kêu lỗi, áp thứ n thì kêu hết hạn. Tóm lại là chẳng có cái voucher nào dùng được cả(mặc dù hôm nay là ngày lễ). Thật sự thất vọng và tốn thời gian. Chẳng muốn mua sắm gì nữa",Feature,Apply Voucher
Owned,Check ví lẹ mấy chế ơi ❤️❤️,Others,Cannot defined
Non Owned,"Mại zô, mại zô! Pót ghim này tui cập nhật điu hót 24/24 nên cần m.ua gì cả nhà cứ zô lựa hen 👇",Others,Cannot defined
Owned,"🌟Tên sản phẩm: Bánh quy bơ Danisa 🌟Tính năng, công dụng: Đây là loại bánh quy bơ của Đan Mạch, trong hộp bánh có rất nhiều loại bánh quy với hình dáng khác nhau nhưng nhìn chung đều là hương vị bơ. Bánh thơm… More ngon và tốt cho sức khỏe vì được làm theo công nghệ Châu Âu và được nhập khẩu vào Việt Nam, với vị thơm và béo của bơ sẽ làm hài lòng những người thích ăn bánh ngọt. Đây cũng là loại bánh khá thông dụng ở Việt Nam, mọi người thường mua làm quà biếu nhân các dịp lễ Tết cho người thân và bạn bè, và một số người ở Việt Nam sau khi ăn xong sẽ tận dụng hộp bánh để chứa các vật dụng như kim chỉ. 🌟Lý do mình muốn mua lại sản phẩm dịp Tết này: Mình rất thích hương vị của bánh, mình sẽ mua một hộp cho gia đình thưởng thức nhân dịp Tết và một vài hộp dùng để mang đi chúc tết người thân và bạn bè. #NghienReviewDoTet #ShopeeTetSale151",Others,Cannot defined
Non Owned,Tỷ phú Forrest Li viết “tâm thư”: Sea đã tạo được bước ngoặt,Others,Branding
Google Play,"một vài shipper giao hàng nói chuyện không đàng hoàng, mong shopee hãy coi lại vài nhân viên mình ^^",Delivery,Driver
Non Owned,Bộ 2 chai nước súc miệng diệt khuẩn giữ hơi thở thơm mát Listerine Cool Mint 750ml/chai - 100945524 được giảm 46%! Chỉ còn ₫159.000. Mua ngay trên Shopee! https://shope.ee/4pfNYOrW2j,Commercial,Items/price
Google Play,Ko dừng tự động cập nhật được,Feature,App performance
Owned,"🚀 **ĐÓN CHÀO ƯU ĐÃI VÀNG VÀO THỨ BA VỚI PHIÊN CHỢ VOUCHER **🚀 * 🎁Miễn phí tối đa 50K cho 1 giờ khi chọn dịch vụ dọn dẹp nhà từ bTaskee * 🤗Giảm ngay 20% gói học Toán 12 tháng từ VioEdu * 🤑ShopBack tặng ngay 25K tiền thưởng cho đơn hàng từ 150K * 😍Giảm 70K cho hóa đơn từ 300K, áp dụng cho tất cả dịch vụ làm đẹp tại Lamia 🎉️🎉 Chỉ từ 1000 xu, SỐ LƯỢNG CÓ HẠN ➡ [http://shopee.vn/ShopeeDoiXu](http://shopee.vn/ShopeeDoiXu) __________________________ 💥 10.10 SIÊU SALE CHÍNH HÃNG - VẪN CÒN SALE 🎊 ▶️ https://shopee.vn/1010-Sieu-Sale-Chinh-Hang Săn thêm ưu đãi Xtra duy nhất 11.10: 🎁 Miễn phí vận chuyển 0Đ 🎁 Thương hiệu hoàn xu tới 50% 🎁 Thu thập voucher, nhận đến 1.2 triệu 🎁 4 Khung giờ săn sale đậm: 0H - 9H - 12H - 21H #Shopee1010SieuSaleChinhHang",Commercial,Flash Sale/Campaigns
Google Play,"Ở nông trại, nhận nước khi ghé shop bị lỗi (cứ đang tải, k hiện ra nước để nhận), mà lỗi này từ lâu rồi chứ không phải mới đây đây. Rất bực mình!",Feature,App performance
Google Play,"Đã xóa đi và tải lại xem sao,đến lúc đăng nhập lại thì ô nhập mật khẩu ko cho đủ ký tự,vậy là tôi không thể đăng nhập lại được tài khoản của tôi,nên khắc phục sớm đi ạ",Shopee account,Sign up/Log in
Google Play,"Cái ""thanh toán khi nhận hàng""của t đâu?",Payment,Other payment methods
Google Play,"Vào ko đc luôn, cứ bị văng ra ấy.",Feature,App performance
Non Owned,"**🔥 VÔ LƯU TRƯỚC VOUCHER 40K, 88K TOÀN SÀN SHOPEE DÙNG LÚC 9H NÈ:** ► Lưu trước trên banner tại link: https://shope.ee/2pvlnpQPGy",Commercial,Promotions
Google Play,App bị lỗi ko vào được mấy ngày rồi,Feature,App performance
Google Play,Rất tệ 🙂 . Rõ ràng đặt hàng xong nó hiện lên là cập nhật thành thế mà khi bấm vào lịch sử mua hàng lại ko thấy j 😡,Feature,App performance
Non Owned,"#32222: LIỆU EM NÊN TIẾP TỤC HAY CHẤM DỨT MỐI QUAN HỆ NÀY ???  Chào mn, e đang là sinh viên năm 2, hiện đang quen 1 anh hơn e 10 tuổi, thu nhập khá cao và còn có ý định thành lập công ty riêng. Thế nhưng a ấy lại rất ít khi chi tiền cho e làm e tự hỏi liệu a ấy có đang thực sự yêu e hay không bởi như mn vẫn hay nói ""Đàn ông tiêu tiền ở đâu thì tâm họ đặt ở đấy."". E biết mình ko nên đòi hỏi và bạn trai cũng ko có nghĩa vụ phải tặng quà hay chi tiền cho mình. Nhưng là con gái, e cũng thích cảm giác được ny chiều chuộng, được tặng hoa tặng quà vào các dịp lễ. Bạn bè e, ngày lễ nào cũng có hoa với quà, cuối tháng hết tiền còn được ny hỗ trợ ít nhiều. Còn e, mang tiếng có bạn trai giàu nhưng ngày lễ ko có nổi một nhành hoa mà chỉ là vài ba câu chúc, sinh nhật ko có nổi cái bánh kem mà chỉ là đi ăn quán ăn vỉa hè.   E ngại đòi hỏi và cũng ko muốn bị a ấy xem là đang đào mỏ nhưng thực sự yêu nhau gần một năm, ngoài một lần e mặt dày đòi quà, chưa bao giờ a ấy chủ động. Là khi e với a ấy đi ngang qua một shop quần áo, e chỉ cho a ấy xem cái váy e thực sự thích, giá trên dưới 500k, và mong muốn a ấy mua tặng e. Nghe e nói xong, a í nhăn mặt khó chịu nhưng rồi cũng mua. Chính vì thế mà dù được tặng, e cảm thấy lòng không vui nổi, thậm chí còn có cảm giác có lỗi với anh. Đó cũng là lần duy nhất e dám đòi quà từ a ấy và ko dám đòi thêm một lần nào nữa. Cuối tháng hết tiền, than vãn với a những mong a ấy giúp em một chút thôi cũng được thì a ấy bảo e cố lên :) Là sinh viên sống xa nhà, đủ thứ tiền sinh hoạt các thứ nên e cũng đi làm thêm để tự kiếm thêm thu nhập. E ko cần a ấy phải bao nuôi hay cho e tiền tiêu, chỉ là trong lúc khó khăn a ấy vẫn ko giúp e được.   Khi đi ăn, e thấy các bạn gái thường được ny dẫn đi ăn những đồ mình thích, thì a ấy lại ngược lại, a ấy ko quan tâm đến việc em thích ăn gì, a ấy chỉ quan tâm bản thân a ấy hiện đang muốn ăn gì. Rồi khi em đi cùng mà ăn với kiểu ko ngon miệng, a ấy sẽ quay qua bảo em là ""kén ăn"", ""khó chiều"",... Và rất là kỳ cục, a ấy ko bao giờ nhường miếng ngon cho e, kiểu đi ăn cái nào ngon thì a ấy sẽ lấy cho mình ấy :))))) E cũng chả để ý miếng nào ngon đâu nhưng do a ấy lúc nào cũng kiểu ""Miếng này ngon nè e"" xong đưa vào bát mình và ăn một cách ngon miệng :).  Vốn dĩ e nghĩ cứ yêu thôi chứ ko nên để tiền bạc ảnh hướng đến chuyện tình cảm. Nhưng rồi khi đến nhà a ấy chơi, nhìn đồ hiệu a ấy mua, nhìn những kế hoạch du lịch đây đó, e lại thấy chạnh lòng. E ăn mặc bình thường, quần áo mua trên shopee, giày dép cũng là hàng secondhand, điện thoại đi làm 1 năm dành dụm mua được con Iphone cũ. Còn a ấy tất nhiên với thu nhập của mình, a ấy có quyền mua sắm đồ đắt tiền, chỉ là e nghĩ a ấy còn chưa tặng e một thứ gì thực sự, ý e là thực sự có giá trị cao. Là vì a ấy ko yêu e nên k muốn chi tiền cho em hay là do e quá thực dụng?  Dạo này đi chơi với a ấy, e ko thèm chăm chút cho vẻ bề ngoài của mình nữa, son e ko tô, cũng ko suy nghĩ hôm nay nên mặc váy nào cho xinh. E chỉ có một suy nghĩ duy nhất là nói lời chia tay với a. Nhưng mà e thực sự e k biết đây có phải là điều e nên làm hay ko? Có phải e quá thực dụng ko ạ?",Others,Cannot defined
Google Play,Sao tôi ko thể đặt hàng dc vậy mong Shopee giải quyết,Others,Cannot defined
Non Owned,"TMĐT đấu với bán lẻ truyền thống: Chủ tịch Nguyễn Đức Tài tiết lộ 'con số trong mơ' mà rất lâu Tiki, Shopee, Lazada mới đuổi kịp TGDĐ, FPT Retail",Others,Branding
Google Play,Tự động hủy đơn hàng và bị chủ shop mắng vốn như chó,Order/Item,Order cancelled
Google Play,Rẻ rách,Others,Cannot defined
Non Owned,"ShopeeFood 5.5: Chốt đơn cả bàn tiệc với deal giảm giá 50%, hoàn xu 55.000 đồng",Commercial,Promotions
Google Play,Ko hiểu kiểu gì đổi số điện thoại qua lại xong giờ hết đổi đc nữa App gì chơi kì v Trong khi sđt đang muốn đổi lk với số tk ngân hàng sd số khác đâu có đc App làm ăn gì kì vl,Others,Cannot defined
Google Play,Hay bị lỗi,Feature,App performance
HC search,221113vbaaatgp,Others,Cannot defined
Google Play,Mã đơn hàng đầu tiên không áp dụng được cứ M02 nhìn chán,Feature,Apply Voucher
Owned,Ét o ét . Đặt đồ để ăn tết mà đặt từ 5-1 mà bây giờ 13-1 vẫn đang xử lí huhu. Thà là cứ đến Thẩm Quyến có phải tốt hơn ko 😭 . Nhắn tin mà shop cũng ko rep  #shoppe,Delivery,Delivery time
Non Owned,"😍 CHĂM DA KIỂU CHÂU Á - NHẬN ƯU ĐÃI THẢ GA 😍  Làn da trong mơ thì không thể dưỡng da sơ sơ được! Cùng tậu ngay loạt sản phẩm dưỡng da xuất xứ châu Á VỚI GIÁ CỰC TỐT tại Guardian nhé:  💥  GIẢM 50% SỮA RỬA MẶT ROSETTE SĂN CHẮC DA 💥  GIẢM 40% NƯỚC TẨY TRANG DƯỠNG SÁNG SENKA 💥  GIẢM 30% MẶT NẠ GIẢM MỤN KEANA 💥  MUA 3 TÍNH 2 MẶT NẠ TỔ YẾN DƯỠNG ẨM MY BEAUTY DIARY  👉🏻  Giá cực tốt, đừng ngần ngại chốt ngay nha: https://bit.ly/GiaLuonTot  ---  🧡 Guardian - Nơi mua sắm an toàn, tiện lợi các sản phẩm chính hãng chăm sóc sức khoẻ và sắc đẹp   Tải app Guardian ngay tại: https://bit.ly/GuardianVN_MobileApp  Hội Cam Guardian: https://bit.ly/Guardian_HoiCam  Danh sách cửa hàng: https://bit.ly/Guardian_Stores  TikTok Guardian Vietnam: https://www.tiktok.com/@guardianvietnam   Hoặc mua online tại:  🔖 Website Guardian: www.guardian.com.vn   🔖 Guardian Lazada Official: https://bit.ly/Guardian_LazadaOfficial  🔖 Guardian Shopee Official HCM: https://bit.ly/Shopee_GuardianHCM   🔖 Guardian Shopee Official HN: https://bit.ly/Shopee_GuardianHN  🔖 Grabmart Guardian: https://bit.ly/Grabmart_Guardian --- 🎉Xem chi tiết bộ ưu đãi tháng 08/2022 tại: https://bit.ly/GuardianLeaflet-082022 Theo dõi Guardian thường xuyên để bắt kịp những deal cực lớn sắp tới nhé!",Others,Cannot defined
Google Play,Quả aoc cc,Commercial,Promotions
Google Play,Mik thấy shopee kiểu nhưCS mấy kiểu ng bán hàng kém chất lượng mà trên hình thì đẹp mà mua về như cc í,Buyer complained seller,Product quality
